Order_ID,Order_Date,Product_ID,Customer_ID,Region,Quantity,Sales_Amount,Discount_%,Profit
1,2025-07-06,1012,2144,Maharashtra,1,4146.61,0.0,1213.61
2,2024-01-02,1001,2041,Gujarat,2,36287.74,20.0,3697.74
3,2024-06-01,1002,2256,Tamil Nadu,6,11098.76,10.0,2938.76
4,2025-06-16,1004,2177,Karnataka,1,15792.74,0.0,4008.74
5,2024-04-02,1007,2006,Gujarat,3,125163.23,0.0,12081.23
6,2023-04-02,1004,2001,Karnataka,3,43148.62,0.0,7796.62
7,2022-09-25,1010,2054,Gujarat,6,16047.6,10.0,2937.6
8,2025-08-22,1003,2098,Delhi,3,147540.39,20.0,31566.39
9,2024-06-18,1007,2138,Maharashtra,3,178077.05,0.0,64995.05
10,2022-04-21,1003,2249,Karnataka,3,127347.05,10.0,11373.05
11,2025-11-27,1009,2277,Tamil Nadu,2,27669.45,30.0,-5376.55
12,2025-01-01,1008,2282,Maharashtra,2,60724.16,0.0,15800.16
13,2022-03-19,1007,2216,Delhi,7,370978.76,5.0,107120.76
14,2025-04-30,1004,2119,Tamil Nadu,2,27544.48,10.0,3976.48
15,2025-11-18,1004,2067,Maharashtra,5,63020.12,20.0,4100.12
16,2022-11-11,1010,2229,Maharashtra,6,14923.99,20.0,1813.99
17,2022-08-31,1012,2031,Tamil Nadu,7,23407.74,0.0,2876.74
18,2022-07-13,1001,2203,Delhi,1,22151.22,10.0,5856.22
19,2022-11-16,1007,2038,Tamil Nadu,7,370802.29,0.0,106944.29
20,2022-11-17,1009,2101,Maharashtra,2,33363.24,30.0,317.24
21,2023-01-11,1004,2137,Delhi,4,52040.09,5.0,4904.09
22,2023-12-26,1002,2165,Tamil Nadu,5,6429.14,20.0,-370.86
23,2024-11-12,1007,2063,Maharashtra,6,287419.55,10.0,61255.55
24,2023-07-08,1010,2015,Tamil Nadu,6,16682.06,10.0,3572.06
25,2023-08-21,1002,2010,Tamil Nadu,7,10631.61,0.0,1111.61
26,2024-04-23,1002,2173,Delhi,5,5781.62,30.0,-1018.38
27,2023-01-31,1008,2218,Tamil Nadu,2,67159.56,5.0,22235.56
28,2025-11-02,1006,2051,Tamil Nadu,5,122433.93,5.0,35683.93
29,2023-07-21,1012,2149,Maharashtra,6,22280.36,0.0,4682.36
30,2023-01-21,1007,2210,Karnataka,1,55859.92,5.0,18165.92
31,2022-06-05,1012,2049,Maharashtra,5,18690.82,10.0,4025.82
32,2023-03-11,1002,2211,Tamil Nadu,1,1236.32,30.0,-123.68
33,2024-08-04,1011,2132,Maharashtra,1,1625.69,5.0,356.69
34,2025-11-15,1001,2008,Maharashtra,1,19813.34,20.0,3518.34
35,2025-07-11,1002,2291,Karnataka,3,5623.71,0.0,1543.71
36,2024-07-03,1008,2036,Tamil Nadu,5,117391.98,10.0,5081.98
37,2024-03-15,1009,2256,Maharashtra,3,60090.61,20.0,10521.61
38,2025-05-17,1011,2014,Maharashtra,3,5110.48,0.0,1303.48
39,2024-03-15,1012,2075,Delhi,5,14839.92,30.0,174.92
40,2022-01-27,1011,2287,Karnataka,4,3928.06,30.0,-1147.94
41,2022-05-10,1003,2193,Karnataka,6,288883.61,5.0,56935.61
42,2023-10-26,1009,2246,Tamil Nadu,3,61138.82,5.0,11569.82
43,2023-04-27,1002,2201,Delhi,6,10270.01,10.0,2110.01
44,2022-05-11,1004,2229,Gujarat,2,28828.4,0.0,5260.4
45,2022-01-12,1009,2080,Karnataka,5,130128.43,0.0,47513.43
46,2022-02-16,1003,2288,Delhi,7,388170.94,10.0,117564.94
47,2023-08-17,1010,2223,Gujarat,2,6183.2,10.0,1813.2
48,2024-09-12,1009,2183,Gujarat,3,47367.78,30.0,-2201.22
49,2022-11-07,1003,2227,Delhi,5,282477.11,5.0,89187.11
50,2022-09-29,1006,2236,Maharashtra,5,81364.86,30.0,-5385.14
51,2022-10-20,1011,2153,Maharashtra,6,9028.27,5.0,1414.27
52,2024-03-17,1006,2011,Tamil Nadu,5,108858.19,10.0,22108.19
53,2025-02-04,1006,2226,Maharashtra,3,42270.77,30.0,-9779.23
54,2023-02-23,1004,2178,Delhi,1,18428.72,0.0,6644.72
55,2025-09-08,1009,2123,Gujarat,2,45764.0,10.0,12718.0
56,2022-11-24,1007,2251,Tamil Nadu,2,77579.94,20.0,2191.94
57,2025-09-08,1003,2056,Delhi,5,210160.31,30.0,16870.31
58,2025-09-30,1005,2181,Delhi,1,7190.89,30.0,425.89
59,2022-12-29,1010,2158,Delhi,7,16919.53,5.0,1624.53
60,2024-05-05,1009,2163,Karnataka,7,155697.37,5.0,40036.37
61,2024-01-01,1006,2192,Maharashtra,4,62955.16,20.0,-6444.84
62,2024-02-02,1008,2227,Gujarat,7,145612.11,30.0,-11621.89
63,2025-01-27,1010,2039,Tamil Nadu,2,6636.43,5.0,2266.43
64,2024-05-18,1009,2084,Karnataka,4,72718.75,30.0,6626.75
65,2025-07-18,1007,2208,Karnataka,1,54937.57,0.0,17243.57
66,2023-01-13,1011,2046,Maharashtra,5,5666.15,20.0,-678.85
67,2023-08-07,1012,2064,Tamil Nadu,5,14321.73,30.0,-343.27
68,2022-08-02,1007,2179,Maharashtra,4,168840.38,0.0,18064.38
69,2023-08-12,1011,2116,Delhi,1,1648.13,5.0,379.13
70,2022-11-13,1001,2123,Maharashtra,2,30042.35,20.0,-2547.65
71,2024-06-18,1003,2022,Delhi,3,161513.22,10.0,45539.22
72,2025-10-11,1011,2173,Tamil Nadu,2,3627.16,10.0,1089.16
73,2024-01-25,1008,2035,Tamil Nadu,1,28810.81,10.0,6348.81
74,2024-08-13,1003,2152,Delhi,4,183562.03,20.0,28930.03
75,2022-07-05,1012,2246,Tamil Nadu,4,17788.8,5.0,6056.8
76,2022-01-02,1009,2293,Tamil Nadu,2,34008.94,20.0,962.94
77,2022-03-07,1010,2163,Tamil Nadu,3,10387.75,0.0,3832.75
78,2024-05-11,1011,2257,Tamil Nadu,2,2253.62,30.0,-284.38
79,2022-11-01,1002,2120,Gujarat,7,9108.06,30.0,-411.94
80,2024-12-18,1003,2161,Maharashtra,1,46137.92,10.0,7479.92
81,2025-12-22,1006,2294,Gujarat,1,20993.17,10.0,3643.17
82,2025-04-13,1011,2290,Maharashtra,6,8430.0,30.0,816.0
83,2025-03-16,1005,2287,Tamil Nadu,1,7783.85,20.0,1018.85
84,2025-03-28,1003,2098,Tamil Nadu,5,221363.6,0.0,28073.6
85,2024-04-01,1008,2089,Tamil Nadu,5,130173.19,10.0,17863.19
86,2025-07-14,1008,2110,Delhi,1,24534.6,10.0,2072.6
87,2022-10-31,1010,2293,Gujarat,1,2053.02,20.0,-131.98
88,2025-02-14,1010,2124,Maharashtra,7,15194.1,10.0,-100.9
89,2024-01-21,1007,2156,Karnataka,4,131130.72,30.0,-19645.28
90,2024-06-27,1003,2159,Maharashtra,3,110473.97,20.0,-5500.03
